imgname,label
0.jpg,29
1.jpg,1
10.jpg,80
100.jpg,41
1000.jpg,47
10000.jpg,68
10001.jpg,61
10002.jpg,36
10003.jpg,16
10004.jpg,16
10005.jpg,16
10006.jpg,52
10007.jpg,58
10008.jpg,29
10009.jpg,40
1001.jpg,67
10010.jpg,57
10011.jpg,63
10012.jpg,29
10013.jpg,58
10014.jpg,1
10015.jpg,63
10016.jpg,59
10017.jpg,1
10018.jpg,64
10019.jpg,58
1002.jpg,25
10020.jpg,63
10021.jpg,46
10022.jpg,11
10023.jpg,15
10024.jpg,16
10025.jpg,75
10026.jpg,48
10027.jpg,57
10028.jpg,7
10029.jpg,27
1003.jpg,40
10030.jpg,58
10031.jpg,23
10032.jpg,17
10033.jpg,40
10034.jpg,17
10035.jpg,31
10036.jpg,80
10037.jpg,36
10038.jpg,16
10039.jpg,35
1004.jpg,27
10040.jpg,81
10041.jpg,60
10042.jpg,62
10043.jpg,71
10044.jpg,75
10045.jpg,1
10046.jpg,69
10047.jpg,22
10048.jpg,16
10049.jpg,42
1005.jpg,62
10050.jpg,63
10051.jpg,27
10052.jpg,57
10053.jpg,25
10054.jpg,58
10055.jpg,49
10056.jpg,68
10057.jpg,46
10058.jpg,55
10059.jpg,75
1006.jpg,36
10060.jpg,20
10061.jpg,38
10062.jpg,74
10063.jpg,9
10064.jpg,80
10065.jpg,36
10066.jpg,6
10067.jpg,70
10068.jpg,35
10069.jpg,49
1007.jpg,75
10070.jpg,20
10071.jpg,41
10072.jpg,27
10073.jpg,80
10074.jpg,64
10075.jpg,35
10076.jpg,16
10077.jpg,19
10078.jpg,1
10079.jpg,16
1008.jpg,1
10080.jpg,80
10081.jpg,31
10082.jpg,22
10083.jpg,41
10084.jpg,70
10085.jpg,35
10086.jpg,35
10087.jpg,72
10088.jpg,58
10089.jpg,22
1009.jpg,80
10090.jpg,16
10091.jpg,55
10092.jpg,58
10093.jpg,55
10094.jpg,63
10095.jpg,35
10096.jpg,1
10097.jpg,80
10098.jpg,40
10099.jpg,22
101.jpg,58
1010.jpg,75
10100.jpg,75
10101.jpg,7
10102.jpg,58
10103.jpg,2
10104.jpg,29
10105.jpg,58
10106.jpg,1
10107.jpg,27
10108.jpg,66
10109.jpg,36
1011.jpg,73
10110.jpg,73
10111.jpg,64
10112.jpg,55
10113.jpg,58
10114.jpg,15
10115.jpg,58
10116.jpg,58
10117.jpg,21
10118.jpg,9
10119.jpg,25
1012.jpg,60
10120.jpg,58
10121.jpg,31
10122.jpg,54
10123.jpg,68
10124.jpg,75
10125.jpg,41
10126.jpg,75
10127.jpg,69
10128.jpg,66
10129.jpg,1
1013.jpg,6
10130.jpg,42
10131.jpg,16
10132.jpg,67
10133.jpg,6
10134.jpg,28
10135.jpg,13
10136.jpg,16
10137.jpg,80
10138.jpg,25
10139.jpg,58
1014.jpg,2
10140.jpg,22
10141.jpg,69
10142.jpg,80
10143.jpg,71
10144.jpg,39
10145.jpg,77
10146.jpg,1
10147.jpg,58
10148.jpg,2
10149.jpg,2
1015.jpg,34
10150.jpg,63
10151.jpg,27
10152.jpg,80
10153.jpg,80
10154.jpg,64
10155.jpg,26
10156.jpg,75
10157.jpg,61
10158.jpg,58
10159.jpg,41
1016.jpg,69
10160.jpg,80
10161.jpg,63
10162.jpg,82
10163.jpg,75
10164.jpg,69
10165.jpg,54
10166.jpg,1
10167.jpg,44
10168.jpg,58
10169.jpg,8
1017.jpg,1
10170.jpg,2
10171.jpg,58
10172.jpg,51
10173.jpg,1
10174.jpg,69
10175.jpg,1
10176.jpg,29
10177.jpg,36
10178.jpg,49
10179.jpg,27
1018.jpg,27
10180.jpg,45
10181.jpg,56
10182.jpg,1
10183.jpg,36
10184.jpg,46
10185.jpg,36
10186.jpg,63
10187.jpg,80
10188.jpg,70
10189.jpg,19
1019.jpg,72
10190.jpg,53
10191.jpg,5
10192.jpg,2
10193.jpg,38
10194.jpg,45
10195.jpg,54
10196.jpg,4
10197.jpg,72
10198.jpg,73
10199.jpg,75
102.jpg,74
1020.jpg,81
10200.jpg,1
10201.jpg,27
10202.jpg,0
10203.jpg,1
10204.jpg,7
10205.jpg,72
10206.jpg,41
10207.jpg,61
10208.jpg,3
10209.jpg,66
1021.jpg,9
10210.jpg,6
10211.jpg,80
10212.jpg,58
10213.jpg,73
10214.jpg,5
10215.jpg,1
10216.jpg,80
10217.jpg,80
10218.jpg,42
10219.jpg,80
1022.jpg,34
10220.jpg,75
10221.jpg,27
10222.jpg,57
10223.jpg,69
10224.jpg,9
10225.jpg,60
10226.jpg,27
10227.jpg,60
10228.jpg,75
10229.jpg,39
1023.jpg,16
10230.jpg,57
10231.jpg,41
10232.jpg,69
10233.jpg,55
10234.jpg,56
10235.jpg,58
10236.jpg,36
10237.jpg,75
10238.jpg,36
10239.jpg,54
1024.jpg,1
10240.jpg,42
10241.jpg,72
10242.jpg,13
10243.jpg,58
10244.jpg,49
10245.jpg,36
10246.jpg,57
10247.jpg,25
10248.jpg,64
10249.jpg,58
1025.jpg,31
10250.jpg,16
10251.jpg,36
10252.jpg,36
10253.jpg,77
10254.jpg,36
10255.jpg,55
10256.jpg,58
10257.jpg,63
10258.jpg,27
10259.jpg,36
1026.jpg,28
10260.jpg,67
10261.jpg,58
10262.jpg,2
10263.jpg,67
10264.jpg,57
10265.jpg,80
10266.jpg,36
10267.jpg,21
10268.jpg,67
10269.jpg,58
1027.jpg,58
10270.jpg,64
10271.jpg,1
10272.jpg,59
10273.jpg,58
10274.jpg,47
10275.jpg,83
10276.jpg,27
10277.jpg,47
10278.jpg,59
10279.jpg,54
1028.jpg,63
10280.jpg,74
10281.jpg,55
10282.jpg,27
10283.jpg,46
